,0,1,2,3,4,5,6,7,8
0,1.17e-06,-9.13e-07,-1.33e-06,-3.7e-07,1.4e-07,-8.58e-07,-9.57e-07,-3.22e-06,7.01e-07
1,-3.84e-06,1.78e-07,-8.93e-08,2.66e-07,3.11e-08,-9.42e-07,6.13e-07,-2.07e-06,-3.15e-07
2,3.38e-06,1.18e-06,1.06e-06,2.39e-07,2.42e-07,1.31e-06,9.58e-07,4.06e-06,1.13e-06
0,-3.32e-06,4.81e-07,6.2e-07,-5.38e-07,1.29e-07,-3.47e-07,8.9e-07,-1.99e-06,8.84e-07
1,-8.29e-08,-1.41e-06,-1.3e-06,-1.57e-06,-2.24e-06,4.46e-07,-1.73e-07,-1.75e-07,1.54e-06
2,3.09e-06,3.68e-07,1.3e-06,7.44e-07,7.67e-08,1.14e-06,1.17e-06,2.64e-06,4.43e-07
0,-2.47e-06,-3.87e-07,-3.43e-06,-2.16e-06,-7.91e-07,-9.55e-07,-1.49e-06,-9.84e-07,-6.37e-07
1,-2.27e-06,4.5e-07,9.44e-08,1.85e-06,1.15e-06,1.47e-06,1.09e-06,6.53e-06,2.04e-06
2,9.3e-07,-3.5e-07,7.9e-07,1.32e-06,4.59e-07,1.72e-06,1.11e-06,7.49e-07,2.11e-06
0,-2.58e-06,-9.55e-07,-2.56e-06,-4.56e-08,-1.25e-06,-1.85e-06,-4.76e-07,-1.93e-06,-2.11e-06
1,-1.79e-06,-1.14e-06,-5.34e-07,-1.07e-06,-2.21e-07,1.7e-06,-1.63e-07,-1.37e-06,1.57e-06
2,7.69e-07,6.56e-07,6.45e-07,9.75e-08,1.2e-06,-7.02e-07,3.89e-07,2.86e-06,-1.54e-06
0,1.89e-06,-3.74e-07,-9.52e-07,-1.42e-06,-1.16e-06,-1.67e-06,-5.85e-07,2.57e-06,-2.76e-07
1,-1.6e-06,1.54e-07,-7.59e-07,-1.05e-06,-6.23e-07,-1.04e-06,-5.33e-08,-1.19e-06,-7.01e-07
2,-6.44e-08,1.1e-06,4.18e-07,1.1e-07,7.9e-08,1.31e-06,1.22e-07,-2.62e-07,1.94e-06
0,-5.87e-07,-9e-07,-1.35e-06,-1.52e-06,-1.68e-06,-1.22e-06,-9.7e-07,-2.46e-06,-1.1e-06
1,-9.93e-07,2.24e-06,2.13e-07,3.57e-07,9.4e-07,-1.11e-06,3.4e-07,-1.57e-06,1.11e-06
2,1.91e-06,3.07e-06,2.08e-06,1.22e-06,3.1e-06,1.37e-06,9.58e-07,8.88e-07,1.02e-06
